"I_D","FLAG_TSUNAMI","YEAR","MONTH","DAY","HOUR","MINUTE","SECOND","FOCAL_DEPTH","EQ_PRIMARY","EQ_MAG_MW","EQ_MAG_MS","EQ_MAG_MB","EQ_MAG_ML","EQ_MAG_MFA","EQ_MAG_UNK","INTENSITY","COUNTRY","STATE","LOCATION_NAME","LATITUDE","LONGITUDE","REGION_CODE","DEATHS","DEATHS_DESCRIPTION","MISSING","MISSING_DESCRIPTION","INJURIES","INJURIES_DESCRIPTION","DAMAGE_MILLIONS_DOLLARS","DAMAGE_DESCRIPTION","HOUSES_DESTROYED","HOUSES_DESTROYED_DESCRIPTION","HOUSES_DAMAGED","HOUSES_DAMAGED_DESCRIPTION","TOTAL_DEATHS","TOTAL_DEATHS_DESCRIPTION","TOTAL_MISSING","TOTAL_MISSING_DESCRIPTION","TOTAL_INJURIES","TOTAL_INJURIES_DESCRIPTION","TOTAL_DAMAGE_MILLIONS_DOLLARS","TOTAL_DAMAGE_DESCRIPTION","TOTAL_HOUSES_DESTROYED","TOTAL_HOUSES_DESTROYED_DESCRIPTION","TOTAL_HOUSES_DAMAGED","TOTAL_HOUSES_DAMAGED_DESCRIPTION"
"7223","","2006","2","14","0","55"," 25.0","30"," 5.3"," 5.3"," 4.8"," 5.4","","","","","INDIA","","INDIA:  SIKKIM","  27.382","   88.388","60","       2","1","","","         2","1","","1","","","","","       2","1","","","2","1","","1","","","",""
"7225","","2006","2","22","22","19","  7.8","11"," 7.0"," 7.0"," 7.5"," 6.5","","","","","MOZAMBIQUE","","MOZAMBIQUE"," -21.324","   33.583","10","       4","1","","","        36","1","","2","294","3","","","       4","1","","","36","1","","2","294","3","",""
"7229","","2006","3","10","7","50"," 14.3","10"," 4.9","",""," 4.9","","","","","PAKISTAN","","PAKISTAN:  MIRPUR DISTRICT","  33.129","   73.887","60","       1","1","","","        22","1","","","","","","","       1","1","","","22","1","","","","","",""
"7231","","2006","3","20","19","44"," 25.1","10"," 4.9",""," 4.9"," 5.0","","","","","ALGERIA","","ALGERIA:  NORTHERN","  36.623","    5.328","15","       4","1","","","         9","1","","","62","2","62","2","       4","1","","","9","1","","","62","2","",""
"7232","","2006","3","25","7","28"," 57.6","18"," 5.9"," 5.9"," 5.5"," 5.7","","","","","IRAN","","IRAN:  SOUTHERN","  27.574","   55.685","140","       1","1","","","         1","1","","1","","","","","       1","1","","","1","1","","1","","","",""
"7234","","2006","3","31","1","17","   .9","7"," 6.1"," 6.1"," 6.0"," 5.7","","","","","IRAN","","IRAN:  WESTERN:  BORUJERD, DORUD","  33.500","   48.780","140","      70","2","","","      1300","4","","3","","3","","3","      70","2","","","1300","4","","3","","3","",""
"7245","","2006","5","26","22","53"," 58.9","13"," 6.3"," 6.3"," 6.2"," 6.0","","","","","INDONESIA","","INDONESIA:   JAVA:  BANTUL, YOGYAKARTA","  -7.961","  110.446","60","    5749","4","","","     38568","4","    3100.000","4","127000","4","127000","4","    5749","4","","","38568","4","    3100.000","4","127000","4","",""
"7246","","2006","6","3","7","15"," 35.6","5"," 5.1","","","","5.1","","","","IRAN","","IRAN:  SOUTHERN:  QESHM","  26.759","   55.843","140","       2","1","","","         4","1","","1","","2","","2","       2","1","","","4","1","","1","","2","",""
"7321","","2006","7","22","1","10"," 29.0","56"," 4.9"," 4.9"," 4.6"," 5.0","","","","","CHINA","","CHINA:  YANJIN","  27.995","  104.138","30","      22","1","","","       106","3","","","","","","","      22","1","","","106","3","","","","","",""
"7363","","2006","7","29","0","11"," 51.3","34"," 5.6"," 5.6"," 5.2"," 4.8","","","","","TAJIKISTAN","","TAJIKISTAN:  PANJ-QUMSANGIR","  37.255","   68.828","40","       3","1","","","        19","1","","","721","3","721","3","       3","1","","","19","1","","","721","3","",""
"7367","","2006","8","25","5","51"," 44.3","22"," 4.6",""," 4.6"," 5.2","","","","","CHINA","","CHINA:  SICHUAN PROVINCE","  28.012","  104.151","30","       1","1","","","        31","1","","2","","","","","       1","1","","","31","1","","2","","","",""
"7409","","2006","9","29","18","23","  5.9","52"," 5.5"," 5.5"," 4.8"," 5.3","","","","","TRINIDAD AND TOBAGO","","TRINIDAD:  GASPARILLO","  10.814","  -61.758","90","       1","1","","","","","","","","","","","       1","1","","","","","","","","","",""
"7420","","2006","12","1","14","1"," 47.5","43"," 6.3"," 6.3"," 6.0"," 5.9","","","","","INDONESIA","","INDONESIA:  SUMABAWA:  BIMA","  -8.251","  118.777","170","       1","1","","","        14","1","","1","20","1","","","       1","1","","","14","1","","1","20","1","",""
"7444","","2006","12","17","21","39"," 17.4","30"," 5.8"," 5.8"," 5.8"," 5.5","","","","","INDONESIA","","INDONESIA:  SUMATERA:  NORTHERN, MUARASIPONGI","    .626","   99.859","170","       7","1","","","       100","2","","3","680","3","","","       7","1","","","100","2","","3","680","2","",""
"7413","Tsu","2006","12","26","12","26"," 21.1","10"," 7.0"," 7.0"," 7.3"," 6.4","","","","","TAIWAN","","TAIWAN:  PINGTUNG","  21.799","  120.547","30","       2","1","","","        40","1","","1","","2","","","       2","1","","","40","1","","1","","2","",""
"7456","","2007","1","21","11","27"," 45.0","22"," 7.5"," 7.5"," 7.3"," 6.7","","","","","INDONESIA","","INDONESIA:  MOLUCCA ISLANDS:  N","   1.065","  126.282","170","       4","1","","","         4","1","","1","","","","","       4","1","","","4","1","","1","","","",""
"7481","","2007","3","6","3","49"," 38.9","19"," 6.4"," 6.4"," 6.4"," 5.9","","","","8","INDONESIA","","INDONESIA:  SUMATRA:  SOUTHERN","   -.493","  100.498","170","      67","2","","","       826","3","","3","43719","4","43719","4","      67","2","","","826","3","","3","43719","4","",""
"7448","Tsu","2007","3","25","0","41"," 57.8","8"," 6.7"," 6.7"," 6.8"," 6.1","","","","","JAPAN","","JAPAN:  HONSHU:  W COAST","  37.336","  136.588","30","       1","1","","","       150","3","","3","58","2","455","3","       1","1","","","150","3","","3","58","2","455","3"
"7457","Tsu","2007","4","1","20","39"," 56.3","24"," 8.1"," 8.1"," 7.9"," 6.8","","","","","SOLOMON ISLANDS","","SOLOMON ISLANDS","  -8.466","  157.043","170","      54","2","","","","","","3","300","3","500","3","      54","2","","","","","","3","2500","4","500","3"
"7525","","2007","6","2","21","34"," 57.7","5"," 6.1"," 6.1"," 6.3"," 5.7","","","","","CHINA","","CHINA:  YUNNAN PROVINCE:  NING'ER","  23.028","  101.052","30","       3","1","","","       329","3","     310.000","4","","","","","       3","1","","","329","3","     310.000","4","","","",""
"7521","Tsu","2007","7","16","1","13"," 22.0","10"," 6.6"," 6.6","","","","","","","JAPAN","","JAPAN:  HONSHU:  W COAST","  37.570","  138.478","30","       9","1","","","      1088","4","   12500.000","4","","","875","3","       9","1","","","1088","4","   12500.000","4","","","875","3"
"7597","","2007","7","21","22","44"," 13.5","10"," 5.2"," 5.2"," 5.0"," 5.6","","","","","TAJIKISTAN","","TAJIKISTAN:  RASHT, ASHT","  38.936","   70.485","40","      12","1","","","","","","","","","","","      12","1","","","","","","","","","",""
"7531","Tsu","2007","8","2","2","37"," 42.3","5"," 6.2"," 6.2"," 6.2"," 5.3","","","","","RUSSIA","","RUSSIA:  TATAR STRAIT","  47.116","  141.798","50","       2","1","","","        12","1","","1","11","1","20","1","       2","1","","","12","1","","1","11","2","20","1"
"7601","","2007","8","6","8","48"," 40.0","2"," 4.2","",""," 4.2","3.9","","","","USA","UT","UTAH:  HUNTINGTON","  39.465"," -111.237","150","       9","1","","","","1","","","","","","","       9","1","","","","1","","","","","",""
"7537","Tsu","2007","8","15","23","40"," 57.8","39"," 8.0"," 8.0"," 7.9"," 6.7","","","","8","PERU","","PERU:  ICA, PISCO, LIMA"," -13.386","  -76.603","160","     514","3","","","      1090","4","","4","39700","4","","","     514","3","","","1090","4","","4","39700","4","",""
"7614","","2007","8","17","0","38"," 56.0","0"," 1.6","","","","1.6","","","","USA","UT","UTAH","  39.464"," -111.207","150","       3","1","","","         6","1","","","","","","","       3","1","","","6","1","","","","","",""
"7574","Tsu","2007","9","12","11","10"," 26.8","34"," 8.4"," 8.4"," 8.5"," 6.9","","","","","INDONESIA","","INDONESIA:  SUMATRA","  -4.438","  101.367","60","      25","1","","","       161","3","","3","56425","4","56425","4","      25","1","","","161","3","","3","56425","4","",""
"7697","","2007","10","26","6","50","  6.6","10"," 4.8",""," 4.8"," 5.3","","","","","PAKISTAN","","PAKISTAN:  GHANCHE","  35.304","   76.753","60","       1","1","","","        12","1","","","","","","","       1","1","","","12","1","","","","","",""
